Code,Gemeentecode,Gemeentenaam,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
0907,GM0907,Gennep,907,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,50427930.9170685,36416.5878529968,2021-07-22T00:00:00Z,1882,28,19,16924,11120.3,165.4,112.3,105
0293,GM0293,Westervoort,293,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,7831564.76445007,14462.7331064972,2021-07-22T00:00:00Z,1269,21,9,14973,8475.3,140.3,60.1,328
0988,GM0988,Weert,988,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,105520846.145218,49762.4239874371,2021-07-22T00:00:00Z,6542,114,69,50107,13056.1,227.5,137.7,322
1900,GM1900,Súdwest-Fryslân,1900,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,576711340.955566,203083.932433183,2021-07-22T00:00:00Z,8314,76,90,89987,9239.1,84.5,100,279
0879,GM0879,Zundert,879,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,121149208.465237,56115.356626852,2021-07-22T00:00:00Z,1855,36,17,21821,8501,165,77.9,351
0748,GM0748,Bergen op Zoom,748,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,93105026.9789104,48480.9571472233,2021-07-22T00:00:00Z,7412,94,44,67489,10982.5,139.3,65.2,36
1940,GM1940,De Fryske Marren,1940,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,418139390.609215,130418.554076991,2021-07-22T00:00:00Z,4021,56,33,51567,7797.6,108.6,64,69
1859,GM1859,Berkelland,1859,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,260169256.335594,97917.2120648871,2021-07-22T00:00:00Z,4179,42,42,43748,9552.4,96,96,37
0163,GM0163,Hellendoorn,163,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,138972581.49688,66798.2990800327,2021-07-22T00:00:00Z,4564,44,51,35923,12705,122.5,142,134
0717,GM0717,Veere,717,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,142444160.024337,89428.5538098024,2021-07-22T00:00:00Z,1545,31,7,21885,7059.6,141.6,32,302
