Code,Gemeentecode,Gemeentenaam,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
0824,GM0824,Oisterwijk,824,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,65085242.0925522,37943.7964420717,2021-07-22T00:00:00Z,3328,55,22,37949,10360.5,171.2,68.5,218
0267,GM0267,Nijkerk,267,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,69886855.5278549,56386.7416311579,2021-07-22T00:00:00Z,4778,52,29,43176,11066.3,120.4,67.2,206
0523,GM0523,Hardinxveld-Giessendam,523,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,19372825.6481781,25163.8824911202,2021-07-22T00:00:00Z,2868,17,25,18295,15676.4,92.9,136.6,123
0547,GM0547,Leiderdorp,547,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,12294148.0874558,16253.6306530027,2021-07-22T00:00:00Z,2495,36,23,27059,9220.6,133,85,172
0317,GM0317,Eemnes,317,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,31476544.9292068,26176.4421317148,2021-07-22T00:00:00Z,1042,19,5,9247,11268.5,205.5,54.1,91
0301,GM0301,Zutphen,301,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,42954165.9950638,43353.3438517759,2021-07-22T00:00:00Z,3446,55,29,47942,7187.9,114.7,60.5,352
0034,GM0034,Almere,34,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,139862163.599083,59737.2925489043,2021-07-22T00:00:00Z,21243,342,96,211840,10027.9,161.4,45.3,11
0037,GM0037,Stadskanaal,37,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,120028760.508255,63423.8602665789,2021-07-22T00:00:00Z,2609,24,20,31688,8233.4,75.7,63.1,272
1949,GM1949,Waadhoeke,1949,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,290158764.96096,100138.783040498,2021-07-22T00:00:00Z,3076,40,37,46082,6675.5,86.8,80.3,315
0716,GM0716,Tholen,716,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,158362643.122112,83878.5334505034,2021-07-22T00:00:00Z,3030,71,30,25758,11763.3,275.6,116.5,284
0402,GM0402,Hilversum,402,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,46359262.5431023,44750.4206968155,2021-07-22T00:00:00Z,7858,92,86,90883,8646.3,101.2,94.6,144
0785,GM0785,Goirle,785,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,43401924.0535927,41804.0623195899,2021-07-22T00:00:00Z,2676,42,36,23906,11193.8,175.7,150.6,109
0579,GM0579,Oegstgeest,579,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,7947447.97873688,18854.5415523587,2021-07-22T00:00:00Z,2191,23,31,24843,8819.4,92.6,124.8,216
0180,GM0180,Staphorst,180,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,135718839.771156,57797.4660233176,2021-07-22T00:00:00Z,2428,18,21,17144,14162.4,105,122.5,273
1723,GM1723,Alphen-Chaam,1723,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,93540529.0382805,65684.8784518118,2021-07-22T00:00:00Z,992,24,5,10213,9713.1,235,49,12
1952,GM1952,Midden-Groningen,1952,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,295800445.184753,99768.0474302416,2021-07-22T00:00:00Z,4061,55,39,60804,6678.8,90.5,64.1,195
0473,GM0473,Zandvoort,473,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,33874931.0541878,25501.3104279299,2021-07-22T00:00:00Z,1600,22,43,17116,9348,128.5,251.2,344
0353,GM0353,IJsselstein,353,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,21644631.4719048,25309.2997887942,2021-07-22T00:00:00Z,3580,87,55,34110,10495.5,255.1,161.2,154
0399,GM0399,Heiloo,399,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,18996561.2494354,20266.3680487979,2021-07-22T00:00:00Z,2052,23,15,23974,8559.3,95.9,62.6,133
1978,GM1978,Molenlanden,1978,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,191613232.574406,88033.7118904821,2021-07-22T00:00:00Z,6031,54,35,43931,13728.3,122.9,79.7,198
1669,GM1669,Roerdalen,1669,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,88788151.773777,65831.3683256235,2021-07-22T00:00:00Z,2167,48,35,20572,10533.7,233.3,170.1,251
0743,GM0743,Asten,743,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,71323969.1653137,39379.4705935365,2021-07-22T00:00:00Z,1819,33,18,16734,10870.1,197.2,107.6,23
0377,GM0377,Bloemendaal,377,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,40638304.2663574,43298.8793451303,2021-07-22T00:00:00Z,2017,16,17,23570,8557.5,67.9,72.1,44
0614,GM0614,Westvoorne,614,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,58929659.6393108,42760.6904383256,2021-07-22T00:00:00Z,1218,23,19,14728,8270,156.2,129,332
0597,GM0597,Ridderkerk,597,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,25239302.0066414,22634.7505729746,2021-07-22T00:00:00Z,6238,114,89,46204,13501,246.7,192.6,248
0313,GM0313,Bunschoten,313,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,30798860.6503525,24531.9629384499,2021-07-22T00:00:00Z,4352,62,39,21867,19902.1,283.5,178.4,58
0141,GM0141,Almelo,141,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,69410856.0931854,43568.8613298553,2021-07-22T00:00:00Z,8091,108,59,73080,11071.4,147.8,80.7,10
1773,GM1773,Olst-Wijhe,1773,Overijssel,PV23,23,IJsselland,VR04,4,GGD Ijsselland,GG1009,1009,118304780.319031,65033.8255502083,2021-07-22T00:00:00Z,1487,21,10,18251,8147.5,115.1,54.8,222
0501,GM0501,Brielle,501,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,31126674.6130924,27735.6553662602,2021-07-22T00:00:00Z,1768,31,10,17282,10230.3,179.4,57.9,53
0400,GM0400,Den Helder,400,Noord-Holland,PV27,27,Noord-Holland-Noord,VR10,10,GGD Hollands-Noorden,GG2707,2707,47221145.7311096,37316.1306882483,2021-07-22T00:00:00Z,5584,67,39,56305,9917.4,119,69.3,74
1681,GM1681,Borger-Odoorn,1681,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,277968150.944565,67378.3712861294,2021-07-22T00:00:00Z,1660,32,15,25558,6495,125.2,58.7,47
0505,GM0505,Dordrecht,505,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,98928486.6829529,51654.4542773811,2021-07-22T00:00:00Z,15093,266,181,119300,12651.3,223,151.7,82
1963,GM1963,Hoeksche Waard,1963,Zuid-Holland,PV28,28,Zuid-Holland-Zuid,VR18,18,Dienst Gezondheid & Jeugd Zuid-Holland Zuid,GG4816,4816,283919754.789406,92078.5996387742,2021-07-22T00:00:00Z,9219,155,67,87461,10540.7,177.2,76.6,145
0327,GM0327,Leusden,327,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,58873328.2302895,42159.6567419693,2021-07-22T00:00:00Z,2634,41,24,30399,8664.8,134.9,78.9,176
1901,GM1901,Bodegraven-Reeuwijk,1901,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,88598852.8909607,50077.0517310984,2021-07-22T00:00:00Z,4267,77,37,34869,12237.2,220.8,106.1,45
0153,GM0153,Enschede,153,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,142733269.065292,52865.2520117792,2021-07-22T00:00:00Z,15761,243,175,159734,9867,152.1,109.6,98
0431,GM0431,Oostzaan,431,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,16087876.7071342,18553.6092686432,2021-07-22T00:00:00Z,1033,16,8,9733,10613.4,164.4,82.2,227
0766,GM0766,Dongen,766,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,29718598.7315636,28311.1148903659,2021-07-22T00:00:00Z,3213,46,25,26226,12251.2,175.4,95.3,81
0310,GM0310,De Bilt,310,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,67090123.7834511,42994.573827668,2021-07-22T00:00:00Z,4101,75,78,43124,9509.8,173.9,180.9,68
0060,GM0060,Ameland,60,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,59004814.9070969,54357.1757104799,2021-07-22T00:00:00Z,269,3,1,3718,7235.1,80.7,26.9,15
