ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Asuncion,PH112301000,NA,NA,NA,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH
Atimonan,PH045603000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Atok,PH141101000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Aurora,PH023103000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Aurora,PH097302000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Ayungon,PH074602000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Baao,PH051701000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Babatngon,PH083705000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Bacacay,PH050501000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Bacarra,PH012802000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Baclayon,PH071205000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Bacnotan,PH013303000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Baco,PH175201000,NA,NA,NA,Oriental Mindoro,PH175200000,Region IV-B,PH170000000,Philippines (the),PH
Bacolod,PH103501000,NA,NA,NA,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH
Bacolod-Kalawi,PH153601000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Bacolod City,PH064501000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Bacolor,PH035404000,NA,NA,NA,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Bacong,PH074603000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Bacoor City,PH042103000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Bacuag,PH166702000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH
Bacungan,PH097226000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Badian,PH072207000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Badiangan,PH063004000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Badoc,PH012803000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Bagabag,PH025003000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Bagac,PH030802000,NA,NA,NA,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Bagamanoc,PH052001000,NA,NA,NA,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Baganga,PH112501000,NA,NA,NA,Davao Oriental,PH112500000,Region XI,PH110000000,Philippines (the),PH
Baggao,PH021506000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Bago City,PH064502000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Baguio City,PH141102000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Bagulin,PH013304000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Bagumbayan,PH126501000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
Bais City,PH074604000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Bakun,PH141103000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Balabac,PH175304000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Balabagan,PH153602000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Balagtas,PH031402000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Balamban,PH072208000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Balangiga,PH082602000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Balangkayan,PH082603000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Balaoan,PH013305000,NA,NA,NA,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Balasan,PH063005000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Balatan,PH051702000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Balayan,PH041003000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Balbalan,PH143201000,NA,NA,NA,Kalinga,PH143200000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
