Name,Population
Kaag en Braassem,27297
Katwijk,65753
Krimpen aan den IJssel,29526
Krimpenerwaard,56319
Lansingerland,62384
Leiden,125099
Leiderdorp,27056
Leidschendam-Voorburg,76534
Lisse,22955
Maassluis,33213
Midden-Delfland,19341
Molenlanden,43909
Nieuwkoop,28811
Nissewaard,85219
Noordwijk,43508
Oegstgeest,24840
Papendrecht,32136
Pijnacker-Nootdorp,55308
Ridderkerk,46189
Rijswijk,54450
Rotterdam,651157
Schiedam,78730
Des Gravenhage,545838
Sliedrecht,25220
Teylingen,37440
Vlaardingen,73397
Voorschoten,25596
Waddinxveen,29291
Wassenaar,26305
Westland,110375
Westvoorne,14731
Zoetermeer,125285
Zoeterwoude,8605
Zuidplas,43885
Zwijndrecht,44737
