pro_code,pro_th,pro_en,reg_nesdb,reg_royin,perimeter,area_sqkm
44,มหาสารคาม,Maha Sarakham,Northeast,Northeast,465.9858196846,5582.58568113667
21,ระยอง,Rayong,East,East,354.66880561456,3665.05762206486
22,จันทบุรี,Chanthaburi,East,East,479.93633473086,6404.21977766077
18,ชัยนาท,Chai Nat,Central,Central,281.94797980514,2511.79747645949
19,สระบุรี,Saraburi,Central,Central,427.04356420091,3487.650451485
52,ลำปาง,Lampang,UpperNorth,North,802.11527908387,12500.43740698581
53,อุตรดิตถ์,Uttaradit,UpperNorth,North,576.19079887104,7867.48028212876
50,เชียงใหม่,Chiang Mai,UpperNorth,North,1278.65433527608,22056.88731834835
51,ลำพูน,Lamphun,UpperNorth,North,499.2809727162,4481.18815811357
96,นราธิวาส,Narathiwat,South,South,344.49928976173,4487.14355388134
94,ปัตตานี,Pattani,South,South,287.1857504731,1975.95499697954
95,ยะลา,Yala,South,South,483.68035913494,4467.26894141248
92,ตรัง,Trang,South,South,482.96137382084,4733.67163479885
93,พัทลุง,Phatthalung,South,South,320.75380694757,3858.38806176758
90,สงขลา,Songkhla,South,South,616.30784254173,7745.41218398206
58,แม่ฮ่องสอน,Mae Hong Son,UpperNorth,North,962.46584093359,12784.28056691474
91,สตูล,Satun,South,South,554.35743484884,3011.55865450342
