objectid,code,name,welshname,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
107,E09000015,Harrow, ,515356,189736,-0.33603,51.594669,51786258.01174322,31190.571133488786
108,E09000016,Havering, ,555032,187514,0.235368,51.565189,113836320.12251408,56527.1724231706
109,E09000017,Hillingdon, ,508166,183120,-0.44182,51.536629,115520674.20801461,55989.03975997696
110,E09000018,Hounslow, ,512742,174965,-0.37847,51.462429,55053197.95392967,46819.57888859736
111,E09000019,Islington, ,531158,184647,-0.10992,51.545479,15152148.948867535,17531.10707580586
112,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.496441,11701510.10052792,17908.01387590996
113,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.39296,38007491.61517125,33047.69537863707
114,E09000022,Lambeth, ,531118,175629,-0.11385,51.464451,26699841.43025834,28992.797309166563
115,E09000023,Lewisham, ,537889,173344,-0.01733,51.44231,34283465.77454839,30696.084993907316
116,E09000024,Merton, ,526069,169507,-0.18867,51.410568,37361486.431403875,27902.77965286304
117,E09000025,Newham, ,540715,183344,0.027289,51.531471,36598559.54514823,25147.566566105925
118,E09000026,Redbridge, ,543511,189478,0.070071,51.585892,56904414.95988855,35940.74166009354
119,E09000027,Richmond upon Thames, ,519005,172650,-0.28914,51.44035,59203313.30478625,45618.5875248402
120,E09000028,Southwark, ,533947,175866,-0.07306,51.465919,30251139.13820279,28468.133521135427
121,E09000029,Sutton, ,527356,163640,-0.17227,51.357559,44475059.91192642,32956.411025819776
122,E09000030,Tower Hamlets, ,536343,181452,-0.03643,51.515541,19546971.669064134,21634.95756448521
123,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.594608,39257107.801250935,28340.63673431301
124,E09000032,Wandsworth, ,525151,174138,-0.20023,51.4524,34625993.097132474,33953.268991286976
125,E09000033,Westminster, ,528268,180870,-0.15295,51.512199,22938487.070232444,22668.168970060342
126,E10000002,Buckinghamshire, ,482506,208561,-0.80569,51.769661,1574680639.7093318,301220.69681599655
127,E10000003,Cambridgeshire, ,520312,273864,-0.23506,52.349659,3055805826.2394753,366012.364067263
128,E10000006,Cumbria, ,341868,527180,-2.90213,54.636379,6828753017.975195,552617.8271600051
129,E10000007,Derbyshire, ,426752,353556,-1.6021,53.078579,2549660380.7962847,372264.8644542661
130,E10000008,Devon, ,283143,93085,-3.65698,50.725578,6585794126.788349,621810.5722003062
131,E10000011,East Sussex, ,564123,117996,0.334559,50.938049,1724411101.431825,220009.91427796616
132,E10000012,Essex, ,575270,215407,0.54106,51.809818,3461786415.7868404,589800.0080111619
133,E10000013,Gloucestershire, ,389595,213465,-2.15235,51.81971,2685060501.090146,351845.7636317895
134,E10000014,Hampshire, ,452859,127536,-1.24735,51.044739,3676557917.5423822,481489.49121645873
135,E10000015,Hertfordshire, ,518883,213642,-0.27699,51.808788,1641520277.8081923,260079.22959016348
136,E10000016,Kent, ,590249,147268,0.72137,51.192951,3546362335.6708837,431899.0246260968
137,E10000017,Lancashire, ,369784,440758,-2.46091,53.86216,2896601041.392626,457378.1148787904
138,E10000018,Leicestershire, ,442147,310191,-1.3779,52.68779,2086209822.1425722,300808.3163617106
139,E10000019,Lincolnshire, ,517984,358539,-0.23884,53.111019,5950013293.855056,505219.0246748894
140,E10000020,Norfolk, ,600549,312292,0.964714,52.67123,5374371095.193879,447100.31048022176
141,E10000021,Northamptonshire, ,477359,268708,-0.86668,52.31105,2366309702.451117,302397.18306339707
142,E10000023,North Yorkshire, ,429509,466515,-1.55032,54.093712,8053157594.962206,660278.3690521953
143,E10000024,Nottinghamshire, ,466570,359496,-1.00656,53.128502,2088523829.0316672,306765.7300336275
144,E10000025,Oxfordshire, ,448985,208334,-1.29146,51.771549,2607088918.8767443,342564.4068870037
145,E10000027,Somerset, ,309300,131077,-3.29595,51.071819,3462418993.923655,376729.67708569363
146,E10000028,Staffordshire, ,398243,334651,-2.02756,52.909302,2628222822.238643,398317.2720103947
147,E10000029,Suffolk, ,608219,266120,1.04919,52.253849,3826791438.0187917,442963.3648629988
148,E10000030,Surrey, ,515966,153408,-0.33911,51.268028,1667746807.9853902,228066.78873632374
149,E10000031,Warwickshire, ,429584,253588,-1.56874,52.179771,1974608059.917759,332480.7194341511
150,E10000032,West Sussex, ,508316,118010,-0.45933,50.95134,1997465440.1883104,269562.45380998147
151,E10000034,Worcestershire, ,385792,257203,-2.20935,52.212872,1743379749.9367974,306514.8618063388
