DateReport,geoid,RegionName,Country,pInf,AB
2022-01-28,MEX484_12_12009,"Atlamajalcingo del Monte, Guerrero, Mexico",Mexico,NA,3
2022-01-28,MEX484_12_12016,"Coahuayutla de José María Izazaga, Guerrero, Mexico",Mexico,NA,3
2022-01-28,MEX484_12_12026,"Cuetzala del Progreso, Guerrero, Mexico",Mexico,NA,3
2022-01-28,MEX484_12_12043,"Metlatónoc, Guerrero, Mexico",Mexico,NA,3
2022-01-28,MEX484_12_12047,"Pedro Ascencio Alquisiras, Guerrero, Mexico",Mexico,NA,3
2022-01-28,MEX484_12_12079,"José Joaquín de Herrera, Guerrero, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14011,"Atengo, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14028,"Cuautla, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14032,"Chiquilistlán, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14048,"Jesús María, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14049,"Jilotlán de los Dolores, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14056,"Santa María del Oro, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14057,"La Manzanilla de la Paz, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14072,"San Diego de Alejandría, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14075,"San Marcos, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14081,"Santa María de los Ángeles, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14102,"Tonaya, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14112,"Valle de Juárez, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_14_14125,"San Ignacio Cerro Gordo, Jalisco, Mexico",Mexico,NA,3
2022-01-28,MEX484_15_15069,"Papalotla, México, Mexico",Mexico,NA,3
2022-01-28,MEX484_15_15071,"Polotitlán, México, Mexico",Mexico,NA,3
2022-01-28,MEX484_15_15116,"Zacazonapan, México, Mexico",Mexico,NA,3
2022-01-28,MEX484_15_15117,"Zacualpan, México, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16002,"Aguililla, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16003,"Álvaro Obregón, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16004,"Angamacutiro, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16007,"Aporo, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16013,"Carácuaro, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16024,"Cherán, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16037,"Huaniqueo, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16046,"Juárez, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16047,"Jungapeo, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16056,"Nahuatzen, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16057,"Nocupétaro, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16092,"Tiquicheo de Nicolás Romero, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16096,"Tumbiscatío, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_16_16101,"Tzitzio, Michoacán de Ocampo, Mexico",Mexico,NA,3
2022-01-28,MEX484_17_17032,"Zacualpan de Amilpas, Morelos, Mexico",Mexico,NA,3
